"","SCode","total_35_64","geometry"
"95","0101477",494,c(-122.361209999455, 37.9338719998743)
"96","0101493",134,c(-120.909960000345, 37.6431600003656)
"97","0101519",730,c(-121.022820000316, 38.6967499998076)
"98","0101535",357,c(-117.053849999952, 33.1353899996964)
"99","0101543",265,c(-118.195359999548, 34.617940000215)
"100","0101576",183,c(-121.307460000331, 37.9016700000929)
"101","0101592",150,c(-117.014829999866, 32.616570000248)
"102","0101600",443,c(-118.627999999933, 34.5110400002993)
"103","0101618",460,c(-118.196469999688, 34.1110900003813)
"104","0101626",261,c(-117.864149999884, 33.7446000004101)
"105","0101659",384,c(-118.329150000236, 34.0093399997472)
"106","0101667",383,c(-118.357370000348, 33.9743699998742)
"107","0101675",426,c(-118.203420000539, 34.0233700000621)
"108","0101683",460,c(-118.241820000321, 34.1080800002962)
"109","0101717",47,c(-119.651450000152, 36.3271300002917)
"110","0101725",613,c(-120.72957999982, 35.3241900004282)
"111","0101766",478,c(-121.384879999711, 38.6698100002655)
"112","0101774",720,c(-122.459899999723, 37.6275700002511)
"113","0101790",362,c(-121.343360000285, 38.4157600002751)
"114","0101816",376,c(-117.02048000035, 34.0097299999322)
"115","0101832",431,c(-121.445729999424, 38.6509299997431)
"116","0101857",93,c(-119.340219999555, 36.348320000108)
"117","0101881",413,c(-121.5036699996, 38.5185000002279)
"118","0101899",450,c(-121.316459999487, 38.5647400003604)
"119","0101907",398,c(-121.501549999664, 38.5675800001664)
"120","0101923",793,c(-122.735210000529, 38.4207300002167)
"121","0101949",106,c(-119.683879999657, 36.8344299996005)
"122","0101956",193,c(-121.274019999441, 38.037409999837)
"123","0101964",662,c(-122.298435000177, 38.3146469998317)
"124","0101972",437,c(-121.342430000333, 38.5438299998242)
"125","0102038",434,c(-121.46681000027, 38.5565000004058)
"126","0102079",392,c(-117.232180000073, 33.5603499997466)
"127","0102103",590,c(-122.425240000555, 37.7195599996364)
"128","0102129",566,c(-119.51550000022, 34.4038900003586)
"129","0102137",426,c(-118.59287999996, 34.2422999999356)
"130","0102178",428,c(-116.863520000266, 33.0391499999885)
"131","0102186",73,c(-119.383840000407, 36.5281100002726)
"132","0102236",391,c(-121.517190000052, 38.6583700003154)
"133","0102269",139,c(-118.041159999738, 34.5545400001807)
"134","0102277",391,c(-121.532389999681, 38.6370400004283)
"135","0102285",342,c(-120.402030000112, 34.9578500000607)
"136","0102293",1434,c(-120.835430000185, 39.0179300001933)
"137","0102301",419,c(-122.19312000039, 39.9361799995906)
"138","0102327",606,c(-121.575719999414, 39.5203499997788)
"139","0102335",359,c(-118.427341002667, 33.9841890071195)
"140","0102343",450,c(-121.419214485994, 38.5508643921565)
"141","0102368",435,c(-121.669310000325, 37.1603999997586)
"142","0102376",177,c(-121.73591000039, 37.9549800000822)
"143","0102384",38,c(-121.424970000193, 37.7456099998537)
"144","0102392",38,c(-121.424340000267, 37.7459299998534)
"145","0102426",460,c(-118.219809999505, 34.0666100002599)
"146","0102434",320,c(-118.30834000001, 33.9330399997923)
"147","0102442",420,c(-118.381699999717, 34.2802699997324)
"148","0102459",462,c(-118.493410000239, 34.3998499998149)
"149","0102467",412,c(-118.593599999823, 34.4014000002521)
"150","0102475",412,c(-118.59655999974, 34.4031999996021)
"151","0102483",426,c(-118.598060000358, 34.2066600002926)
"152","0102491",401,c(-118.283860000158, 34.0171099999984)
"153","0102509",545,c(-117.440750000028, 34.1312199995691)
"154","0102517",545,c(-117.464090000289, 34.1261000004055)
"155","0102525",864,c(-122.666108497962, 38.443999904816)
"156","0102533",864,c(-122.670920000411, 38.4811599997721)
"157","0102541",401,c(-118.275379999482, 34.0308099997829)
"158","0102558",311,c(-117.183680000523, 34.111140000285)
"159","0102566",428,c(-121.893000000102, 37.764439999646)
"160","0102574",70,c(-119.009519999703, 36.0607700004034)
"161","0102582",346,c(-117.961760000141, 33.8846600003995)
"162","0102590",301,c(-117.057300000278, 33.084250000164)
"163","0102608",354,c(-117.077269999679, 33.1381700001061)
"164","0102616",290,c(-121.769430000336, 37.3217500003422)
"165","0102624",75,c(-120.849810000334, 37.0747900002534)
"166","0102632",193,c(-121.275639999451, 38.0333599999844)
"167","0102640",241,c(-121.298750000189, 38.1373799995667)
"168","0102657",174,c(-121.366339999702, 38.0455899999914)
"169","0102665",461,c(-121.760899999924, 36.9113000000116)
"170","0102673",461,c(-121.775610000109, 36.9129699999776)
"171","0102681",328,c(-118.172319999957, 33.8852300002588)
"172","0102707",73,c(-119.37766999978, 36.553119999901)
"173","0102715",250,c(-116.942089999846, 33.7785700000583)
"174","0102723",250,c(-116.973809999558, 33.8085499998777)
"175","0102731",164,c(-117.271240000075, 33.9285800003981)
"176","0102749",466,c(-116.986230000096, 33.9608099999821)
"177","0102764",470,c(-118.315300000083, 34.0949600000101)
"178","0102772",214,c(-117.013999999992, 33.7589500002795)
"179","0102780",222,c(-116.97333000007, 33.7213399998593)
"180","0102798",424,c(-121.276399999523, 38.7885600002368)
"181","0102806",421,c(-121.336430000456, 38.7866600003334)
"182","0102822",294,c(-117.117489999707, 33.0045499995438)
"183","0102830",454,c(-117.401859999701, 34.1475499998176)
"184","0102848",316,c(-120.446809999928, 34.9394900000114)
"185","0102855",316,c(-120.44751000052, 34.9854099998576)
"186","0102863",323,c(-120.45631999957, 34.9278799996576)
"187","0102871",251,c(-117.782449999629, 33.7177200002654)
"188","0102889",251,c(-117.771509999941, 33.7278400002403)
"189","0102897",294,c(-117.873429999867, 33.8595199999829)
"190","0102913",320,c(-118.306579999904, 33.9284989998737)
"191","0102921",310,c(-118.283570000144, 33.7829070003397)
"192","0102939",550,c(-117.517660000314, 34.1438499997907)
"193","0102947",550,c(-117.535099999622, 34.1540999999327)
"194","0102988",610,c(-122.18663000041, 37.7530299998416)
"195","0105684",260,c(-117.197229999652, 33.0989400001752)
"196","0105692",123,c(-119.308700000351, 36.6297300000965)
"197","0105700",130,c(-121.038599999747, 37.6978599996776)
"198","0105718",46,c(-121.442270000511, 37.7005699996079)
"199","0105726",351,c(-117.144400000217, 33.1452900004245)
"200","0105734",334,c(-117.092219999869, 33.4527400001441)
"201","0105742",247,c(-117.110629999538, 33.5634499999401)
"202","0105759",315,c(-117.105280000224, 33.5623399995569)
"203","0105767",66,c(-116.480659999751, 33.8525499997655)
"204","0105783",102,c(-119.282570000197, 36.3464200001911)
"205","0105791",305,c(-117.583389999838, 33.841260000159)
"206","0105809",232,c(-117.565260000493, 33.971549999737)
"207","0105817",126,c(-120.785869999828, 37.420629999975)
"208","0105825",194,c(-117.231149999638, 32.951400000424)
"209","0105858",461,c(-121.791920000286, 36.9139300000251)
"210","0105866",696,c(-122.497070000473, 38.3110069997463)
"211","0105874",663,c(-122.478290000516, 37.5878400003071)
"212","0105882",274,c(-117.222560000312, 33.2181199997002)
"213","0105890",956,c(-122.759080000258, 38.5022800002286)
"214","0105908",368,c(-121.423679999462, 38.3987299999324)
"215","0105916",404,c(-121.398290000437, 38.4493999995703)
"216","0105924",404,c(-121.394420000164, 38.4491400003865)
"217","0105932",404,c(-121.394239999928, 38.4416400001126)
"218","0105940",164,c(-117.258920000007, 33.9268399997051)
"219","0105957",188,c(-116.977800000179, 32.6648800001141)
"220","0105965",188,c(-116.948770000352, 32.6479800000266)
"221","0105973",116,c(-121.20788999967, 37.7705600002699)
"222","0105981",176,c(-118.081859999495, 34.5456900000104)
"223","0106005",435,c(-121.964659999532, 37.2643599996233)
"224","0106013",1118,c(-122.404559999825, 40.5873799997584)
"225","0106021",84,c(-119.201789999857, 36.3075199996768)
"226","0106047",618,c(-119.972170000276, 38.9351440003081)
"227","0106062",466,c(-116.965179999845, 33.9524200000382)
"228","0106070",156,c(-118.211130000242, 34.6774199999407)
"229","0106088",258,c(-121.966910000426, 38.0117200001715)
"230","0106096",169,c(-117.288769999898, 33.8303899995793)
"231","0106112",96,c(-121.323280000254, 36.4347200003558)
"232","0106120",232,c(-117.270200000035, 33.2158899999249)
"233","0106153",1162,c(-124.140970000145, 40.5894799995707)
"234","0106161",1122,c(-124.152060000593, 40.8027600004164)
"235","0106179",1640,c(-123.797160000499, 40.0973800001461)
"236","0106203",1122,c(-124.141450000084, 40.7892100002253)
"237","0106229",470,c(-121.418650000525, 38.6027899997413)
"238","0106237",470,c(-121.418979999606, 38.6028200002306)
"239","0106245",478,c(-121.419469999681, 38.640639999777)
"240","0106278",437,c(-121.340219999846, 38.5470099995539)
"241","0106294",407,c(-121.299160000286, 38.566160000025)
"242","0106328",194,c(-117.189350000489, 32.9581599999433)
"243","0106336",100,c(-121.331360000469, 36.438030000242)
"244","0106344",874,c(-122.772950000236, 38.4663000004211)
"245","0106351",488,c(-118.615007959213, 34.1788750109049)
"246","0106401",497,c(-122.280510000188, 37.7813999995511)
"247","0106419",91,c(-119.758610000042, 36.8929800002873)
"248","0106427",401,c(-118.259979999663, 34.0140469996147)
"249","0106443",357,c(-121.270620000154, 38.8474600003738)
"250","0106450",391,c(-121.500699999499, 38.6810400003415)
"251","0106476",110,c(-119.890649999632, 36.7691200003453)
"252","0106484",95,c(-121.540520000102, 37.7719200002602)
"253","0106518",136,c(-120.509279999645, 37.29453999963)
"254","0106534",324,c(-122.114950000113, 37.3962500000161)
"255","0106567",261,c(-117.872799999494, 33.7475600003989)
"256","0106575",50,c(-119.227330000215, 35.7745600000228)
"257","0106583",180,c(-121.753489999843, 37.9659300001444)
"258","0106625",1653,c(-124.190650000132, 41.7644099996171)
"259","0106633",190,c(-121.83991999951, 37.3378600001356)
"260","0106641",73,c(-117.340880000117, 34.5422599998591)
"261","0106674",346,c(-121.701780000332, 38.5636599998016)
"262","0106690",10,c(-118.929089999671, 35.3442700001291)
"263","0106716",428,c(-116.660639999873, 33.5707099996493)
"264","0106732",162,c(-117.219099999767, 32.733180000149)
"265","0106740",154,c(-119.836439999491, 36.7944500002318)
"266","0106757",412,c(-121.289030000068, 38.5446700003887)
"267","0106765",282,c(-117.67106000004, 33.4782200004317)
"268","0106799",191,c(-117.190534023849, 32.834154005916)
"269","0106807",582,c(-120.177460000388, 39.3451799999062)
"270","0106815",88,c(-119.447770000202, 36.609249999963)
"271","0106831",300,c(-118.462980000079, 33.9965240000332)
"272","0106849",348,c(-118.242619999908, 33.9630099998466)
"273","0106864",401,c(-118.282890000439, 34.0365199999071)
"274","0106872",440,c(-118.41590000039, 34.2411219999397)
"275","0106880",401,c(-118.262395037907, 34.0353239812527)
"276","0106898",434,c(-121.451180000478, 38.5486900000978)
"277","0106906",610,c(-122.153679999814, 37.7659700002511)
"278","0106914",440,c(-118.398420000255, 34.1929299996541)
"279","0106922",401,c(-118.270859999656, 34.0154600000511)
"280","0106930",348,c(-118.217879999872, 33.948530000086)
"281","0106948",401,c(-118.279559999903, 34.0601899996389)
"282","0106955",401,c(-118.260149999578, 34.0072700002106)
"283","0106971",401,c(-118.460219999473, 34.2210099997537)
"284","0106989",348,c(-118.22486000045, 33.945770000164)
"285","0106997",401,c(-118.271159999979, 34.0289099997249)
"286","0107003",402,c(-118.524419999475, 34.2454099995751)
"287","0107011",348,c(-118.178809999693, 33.9413899996871)
"288","0107078",198,c(-117.160329999841, 32.8003800000029)
"289","0107086",198,c(-117.160329999841, 32.8003800000029)
"290","0107094",198,c(-117.160329999841, 32.8003800000029)
"291","0107102",198,c(-117.160329999841, 32.8003800000029)
"292","0107110",1191,c(-124.089069999622, 40.8764200001765)
"293","0107128",133,c(-120.933859999621, 37.584260000179)
"294","0107136",133,c(-120.933769999528, 37.584359999839)
"295","0107151",190,c(-121.832029999958, 37.3697299998997)
"296","0107177",205,c(-117.076530000232, 32.7525000002688)
"297","0107219",174,c(-117.153159999577, 32.7201299996048)
"298","0107227",690,c(-121.048000000526, 38.6257100002677)
"299","0107250",1288,c(-123.105110000417, 39.3214400001902)
"300","0107284",372,c(-118.788290000302, 34.2776400000497)
"301","0107292",208,c(-121.126229999785, 36.2100100001539)
"302","0107300",688,c(-122.444863972829, 37.7214889868719)
"303","0107318",331,c(-121.623950000122, 39.1638100002025)
"304","0107334",622,c(-122.019909999445, 37.8593590004516)
"305","0107342",179,c(-121.85099999993, 38.0024399996371)
"306","0107359",428,c(-116.656739999614, 33.570829999593)
"307","0107375",316,c(-121.552950000578, 39.0111700000844)
"308","0107391",204,c(-121.627060000104, 36.7130100004377)
"309","0107409",91,c(-119.539579999463, 36.607519999908)
"310","0107425",44,c(-117.432649999515, 34.5806399997416)
"311","0107433",95,c(-117.433879999461, 34.5122200002131)
"312","0107441",95,c(-117.431800000065, 34.5127899996734)
"313","0107458",302,c(-118.201319999609, 33.7699500004296)
"314","0107466",288,c(-117.293780000328, 34.1105199999357)
"315","0107482",198,c(-117.170530000138, 32.8047129996351)
"316","0107508",383,c(-118.353979999797, 33.9524300002981)
"317","0107516",334,c(-117.382749999463, 34.4128200002646)
"318","0107524",733,c(-122.075459999454, 37.8762600002703)
"319","0107557",218,c(-117.289910000203, 33.1727900000211)
"320","0107573",162,c(-117.219840000362, 32.7345200001552)
"321","0107631",222,c(-116.957785001999, 33.7316589862194)
"322","0107649",52,c(-119.357410000206, 36.1958799997386)
"323","0107672",139,c(-120.472929999992, 37.2991890001441)
"324","0107706",818,c(-122.605480000526, 38.9147499999985)
"325","0107722",317,c(-121.66014999996, 39.1376400002783)
"326","0107730",387,c(-117.294899999788, 34.1555900000414)
"327","0107748",190,c(-121.851930000318, 37.3502699998914)
"328","0107755",314,c(-118.28257000001, 33.7402599997415)
"329","0107763",190,c(-121.829639999959, 37.3363100001749)
"330","0107771",20,c(-119.267970000517, 35.5152899999396)
"331","0107797",218,c(-121.754690000524, 37.9212199997155)
"332","0107805",127,c(-117.324070000408, 34.4391999999896)
"333","0107862",354,c(-117.091549999578, 33.1717099998607)
"334","0107870",340,c(-117.092209999589, 33.0857999997144)
"335","0107888",311,c(-117.183159999766, 34.1129300000243)
"336","0107912",320,c(-118.208789999914, 33.9141900002587)
"337","0107920",356,c(-117.382700000191, 33.6693099997901)
"338","0107938",79,c(-120.068920000349, 36.9872600001091)
"339","0107946",264,c(-121.301129999683, 38.2854799997538)
"340","0107961",28,c(-116.306060000161, 33.6789000000842)
"341","0107979",137,c(-120.833480000042, 37.7637599999607)
"342","0107987",10,c(-118.932630000196, 35.3412799998318)
"343","0108001",1473,c(-120.943704000422, 39.9361850001451)
"344","0108019",177,c(-121.707430000221, 37.9530700004453)
"345","0108027",412,c(-118.592099999701, 34.4045700000154)
"346","0108035",140,c(-121.131380000497, 37.7590799995719)
"347","0108050",424,c(-121.287280000533, 38.8033299999067)
"348","0108068",204,c(-121.67010000029, 36.6932499998562)
"349","0108076",130,c(-120.959500000245, 37.5789799999477)
"350","0108084",357,c(-121.289389999779, 38.8364100003716)
"351","0108092",61,c(-119.321079999513, 36.6121600001209)
"352","0108100",110,c(-119.721735008019, 36.7512989913244)
"353","0108118",164,c(-119.783360000254, 36.7471200000767)
"354","0108126",296,c(-122.027189999956, 37.3287599999897)
"355","0108134",181,c(-117.181329999771, 33.9063100004179)
"356","0108142",97,c(-119.703150000058, 36.8607200002168)
"357","0108159",193,c(-121.268250000408, 38.0131299997331)
"358","0108167",190,c(-121.812710000506, 37.345480000222)
"359","0108175",156,c(-120.856619999681, 37.533980000148)
"360","0108191",545,c(-117.465119999518, 34.1484600000353)
"361","0108209",266,c(-121.301629999696, 38.1039099997843)
"362","0108217",149,c(-121.392950000115, 38.0538400003317)
"363","0108225",193,c(-121.298590000321, 38.0393599999699)
"364","0108241",336,c(-117.241999999911, 33.6059599999211)
"365","0108258",533,c(-121.094550000018, 38.698389999894)
"366","0108266",170,c(-117.123450000042, 32.7184199996613)
"367","0108274",170,c(-117.092719999866, 32.699150000215)
"368","0108282",170,c(-117.111080000071, 32.7472500000043)
"369","0108290",205,c(-117.089500000059, 32.7527900004078)
"370","0108324",428,c(-121.905180000567, 37.7519600002332)
"371","0108332",294,c(-117.109619999812, 33.0001399999502)
"372","0108340",1266,c(-122.614600000463, 38.7511300002281)
"373","0108357",46,c(-121.463480000201, 37.7235399995921)
"374","0108365",270,c(-117.89951000028, 33.7031300000587)
"375","0108373",261,c(-117.869390000395, 33.7168400000261)
"376","0108381",320,c(-118.204540000163, 33.9336900003121)
"377","0108399",320,c(-118.204350000032, 33.935309999582)
"378","0108407",97,c(-118.070160000152, 34.6802100002511)
"379","0108415",424,c(-121.451075999453, 38.6898659999906)
"380","0108423",63,c(-117.163439999669, 34.4873300001282)
"381","0108431",127,c(-117.314639999709, 34.4965900003517)
"382","0108449",82,c(-117.276529999574, 34.477309999749)
"383","0108464",24,c(-116.252510000429, 33.7317299995634)
"384","0108480",334,c(-117.075400000196, 33.4971700000659)
"385","0108498",247,c(-117.104150000133, 33.6047900004218)
"386","0108506",334,c(-117.068169999886, 33.4695199999842)
"387","0108514",349,c(-121.317919999858, 38.9068599996964)
"388","0108522",297,c(-120.877739999483, 35.7430700002119)
"389","0108530",267,c(-117.18071999982, 33.5958700000631)
"390","0108548",205,c(-117.077909999889, 32.7574700000061)
"391","0108555",144,c(-119.796144000425, 36.7680829998494)
"392","0108563",265,c(-116.970309999583, 32.7850099997121)
"393","0108589",32,c(-119.061360000034, 35.4080799997592)
"394","0108597",363,c(-118.558199999976, 34.4690799996229)
"395","0108605",720,c(-122.246052018144, 38.2955910165364)
"396","0108613",116,c(-121.229550000491, 37.7780999996276)
"397","0108621",494,c(-121.369119999552, 38.727779999655)
"398","0108639",209,c(-117.161379999687, 33.6291100001621)
"399","0108647",176,c(-121.251699999961, 37.9389499998482)
"400","0108662",168,c(-116.977219999645, 32.6240200004088)
"401","0108670",264,c(-122.086790000006, 37.6232500002533)
"402","0108688",1068,c(-124.194069999559, 40.6995899997949)
"403","0108696",270,c(-121.811549999962, 37.2959399997007)
"404","0108704",298,c(-117.638700000472, 33.5701300000878)
"405","0108720",395,c(-121.324930000052, 38.4710399996033)
"406","0108738",354,c(-121.441550000022, 38.4002500003752)
"407","0108746",362,c(-121.33680999975, 38.4262600003634)
"408","0108753",362,c(-121.339549999953, 38.4262299997991)
"409","0108761",134,c(-120.929700000416, 37.6717799995683)
"410","0108779",328,c(-118.172209999834, 33.9032499998724)
"411","0108787",162,c(-117.219859999872, 32.7345299999709)
"412","0108795",494,c(-121.37019999985, 38.7005700001831)
"413","0108837",478,c(-121.385670000014, 38.6712399998557)
"414","0108860",391,c(-121.52625999992, 38.675639999772)
"415","0108878",401,c(-118.447519999686, 34.1951199997466)
"416","0108886",465,c(-118.2574800004, 34.0795600004371)
"417","0108894",366,c(-118.278759999759, 33.9441800001745)
"418","0108910",384,c(-118.333169999536, 34.0258300003922)
"419","0108928",470,c(-118.361990000244, 34.0935499997082)
"420","0108936",348,c(-118.234330000519, 33.9773899999434)
"421","0108944",406,c(-122.196470000131, 37.7360299996185)
"422","0108951",413,c(-121.511369999603, 38.5620600004345)
"423","0109009",71,c(-119.062279999646, 36.0626199998803)
"424","0109033",174,c(-117.126779999671, 32.7097599999572)
"425","0109066",290,c(-117.869180000057, 33.7525099999476)
"426","0109074",130,c(-120.953100000124, 37.5735099998071)
"427","0109082",130,c(-120.963019999824, 37.6121399999825)
"428","0109090",130,c(-120.976579999822, 37.587929999927)
"429","0109108",160,c(-117.330490000248, 33.8561699999194)
"430","0109116",160,c(-117.203520000085, 33.883289999949)
"431","0109124",161,c(-117.185829999702, 33.8314899996986)
"432","0109140",403,c(-122.243480000063, 38.1679799998945)
"433","0109157",205,c(-117.087499999534, 32.7920499996512)
"434","0109173",428,c(-121.913699999552, 37.7624099996324)
"435","0109181",401,c(-118.270659999894, 34.0479800002879)
"436","0109199",465,c(-118.271029999686, 34.068110000261)
"437","0109207",348,c(-118.198079999814, 33.9788699998453)
"438","0109223",426,c(-118.217940000303, 34.0244700004345)
"439","0109231",366,c(-118.289590000004, 33.9593700000109)
"440","0109249",366,c(-118.252650000221, 33.9957999998093)
"441","0109256",401,c(-118.299160000322, 34.0531999999954)
"442","0109264",465,c(-118.287980000179, 34.093239999557)
"443","0109272",348,c(-118.22987000008, 33.9789999999029)
"444","0109280",407,c(-118.185859999859, 34.0244300003112)
"445","0109298",470,c(-118.31926000031, 34.0912299998498)
"446","0109306",320,c(-118.29092999978, 33.933020000259)
"447","0109314",465,c(-118.304190000401, 34.0771099997851)
"448","0109322",348,c(-118.224680000417, 33.9906199997823)
"449","0109330",401,c(-118.267680000247, 34.010719999968)
"450","0109348",366,c(-118.256860000007, 33.9948500000983)
"451","0109355",401,c(-118.293420000334, 34.0266399997661)
"452","0109363",348,c(-118.184100000332, 33.9933099999227)
"453","0109371",401,c(-118.461340000108, 34.230969999803)
"454","0109389",401,c(-118.45710999956, 34.2268600003379)
"455","0109397",480,c(-118.37970000043, 34.1780599998805)
"456","0109405",465,c(-118.302890000324, 34.0916399998453)
"457","0109413",348,c(-118.214469999772, 33.9457399998553)
"458","0109421",348,c(-118.20970000053, 33.9689899997449)
"459","0109439",476,c(-118.16815000015, 34.0887399997468)
"460","0109447",401,c(-118.262830000246, 34.0291099996053)
"461","0109454",348,c(-118.22276000033, 33.9450000001641)
"462","0109462",348,c(-118.188829999922, 33.9825700001659)
"463","0109470",95,c(-117.413559999797, 34.5422999999473)
"464","0109488",843,c(-117.365590000179, 34.2018399996927)
"465","0109496",387,c(-117.268339999871, 34.1277099998152)
"466","0109504",341,c(-119.729972067198, 37.1244786760098)
"467","0109512",401,c(-118.452539999685, 34.21756000029)
"468","0109520",498,c(-118.925829999646, 34.4076400000996)
"469","0109538",328,c(-118.183190000532, 33.9191299998054)
"470","0109595",461,c(-121.76971999956, 36.9210499999275)
"471","0109660",348,c(-118.196600000246, 33.9841999997897)
"472","0109678",347,c(-117.827629999817, 33.9049499999884)
"473","0109694",79,c(-120.06673999981, 36.9919600002535)
"474","0109702",79,c(-120.064419999622, 36.9912199997131)
"475","0109751",93,c(-119.312969999651, 36.3214899997956)
"476","0109793",334,c(-121.541352787011, 38.9107658914552)
"477","0109819",548,c(-122.283329999588, 37.8457699998339)
"478","0109827",446,c(-121.136340000115, 38.8720400001338)
"479","0109843",209,c(-117.178049999943, 33.6768299999512)
"480","0109850",288,c(-117.2543000001, 34.0999799996141)
"481","0109884",402,c(-118.538832428206, 34.2169319137856)
"482","0109900",351,c(-119.179140000011, 34.1985300003022)
"483","0109926",460,c(-118.198170000479, 34.1073700004108)
