"","SCode","total_35_64","geometry"
"1","0100016",79,c(-120.066930000126, 36.9836600004238)
"2","0100024",690,c(-121.058940000187, 38.6639299996809)
"3","0100040",264,c(-121.286489999792, 38.2843499995705)
"4","0100057",1473,c(-120.943692020306, 39.9361830195868)
"5","0100065",610,c(-122.185000000318, 37.7736100000566)
"6","0100081",118,c(-118.008710000125, 34.563009999686)
"7","0100107",288,c(-117.674849999708, 34.042289999982)
"8","0100115",430,c(-117.698770000035, 34.0644599997814)
"9","0100156",42,c(-119.828160000344, 36.2920120003415)
"10","0100164",29,c(-116.232809999783, 33.7046699997192)
"11","0100180",930,c(-119.501920000028, 37.2276599997694)
"12","0100198",9,c(-119.009559999589, 35.2795099997745)
"13","0100206",193,c(-121.276159999546, 38.0085200003899)
"14","0100248",40,c(-116.161329999494, 33.5718579996482)
"15","0100255",40,c(-116.162160000154, 33.5709300003237)
"16","0100263",40,c(-116.162230000132, 33.5709700001793)
"17","0100289",401,c(-118.266700000328, 34.0590600000584)
"18","0100347",362,c(-117.494270000226, 34.1051799997852)
"19","0100354",330,c(-118.354110000285, 33.9203299995887)
"20","0100362",356,c(-119.208509999843, 34.2212400003933)
"21","0100388",792,c(-121.98583999973, 36.9835400004094)
"22","0100404",464,c(-121.159089999439, 38.6527199998884)
"23","0100412",267,c(-117.145209999916, 33.5777999995496)
"24","0100420",267,c(-117.165779999735, 33.5968199997672)
"25","0100461",180,c(-121.789059999487, 37.9625699999137)
"26","0100479",180,c(-121.79812999994, 37.9685100003733)
"27","0100487",431,c(-121.457689999912, 38.6525620003478)
"28","0100495",52,c(-119.359110000145, 36.2286400003736)
"29","0100503",196,c(-117.15324999951, 33.6974399999872)
"30","0100511",362,c(-117.069109999466, 33.2579699999741)
"31","0100529",50,c(-119.221150000021, 35.766299999753)
"32","0100537",298,c(-121.645829999978, 39.1240299996728)
"33","0100545",126,c(-117.447400000463, 33.8638299999008)
"34","0100560",266,c(-121.265329999473, 38.1041800003129)
"35","0100578",288,c(-117.659260000349, 34.003920000265)
"36","0100586",354,c(-117.711589999505, 33.9586500003639)
"37","0100594",288,c(-117.637889999524, 34.0241199998289)
"38","0100602",330,c(-118.351790000227, 33.935109999835)
"39","0100610",383,c(-118.346609999827, 33.9411200001772)
"40","0100636",412,c(-118.578970000392, 34.382110000434)
"41","0100644",452,c(-118.513770000084, 34.3760299997878)
"42","0100651",323,c(-120.459469976332, 34.6428359830211)
"43","0100669",384,c(-118.343662031836, 34.0169239846661)
"44","0100677",497,c(-118.506189999868, 34.1872600002857)
"45","0100685",9,c(-119.006220000438, 35.2895800000413)
"46","0100701",497,c(-122.257860000166, 37.7953099996724)
"47","0100735",284,c(-117.735400000232, 33.561299999782)
"48","0100743",401,c(-118.273779999661, 34.0115799999071)
"49","0100750",401,c(-118.273720000133, 34.0108100001955)
"50","0100776",440,c(-118.39695999974, 34.2347000003682)
"51","0100792",530,c(-122.230099999844, 37.7796099996111)
"52","0100800",465,c(-118.288369999797, 34.0751300002022)
"53","0100867",426,c(-118.209639999783, 34.0314599995775)
"54","0100883",318,c(-117.598300000124, 33.468240000287)
"55","0100891",318,c(-117.598350000379, 33.468179999634)
"56","0100909",300,c(-117.637240000261, 33.5536299996387)
"57","0100917",300,c(-117.637249999899, 33.5536500000646)
"58","0100925",232,c(-117.27006000039, 33.2182900000224)
"59","0100933",275,c(-117.216429999807, 33.1780800003257)
"60","0100941",161,c(-117.178789999987, 33.8270399995505)
"61","0100958",161,c(-117.181480000272, 33.825930000407)
"62","0100966",215,c(-117.526210000031, 33.8346200000252)
"63","0100974",232,c(-117.587929999534, 33.9519500002522)
"64","0100982",204,c(-117.498070000382, 33.7864199997814)
"65","0100990",517,c(-121.59387999998, 37.0003499996204)
"66","0101006",380,c(-116.953920000016, 33.9331700003857)
"67","0101014",9,c(-119.005490000087, 35.2735599998349)
"68","0101022",363,c(-118.55929999947, 34.4597099999225)
"69","0101030",154,c(-120.858150000207, 37.6014800003834)
"70","0101048",434,c(-121.467019999477, 38.5283300002726)
"71","0101097",247,c(-117.095839999764, 33.5888000001034)
"72","0101105",334,c(-117.109610000431, 33.4694700002904)
"73","0101113",1162,c(-122.325310000002, 40.6024500002985)
"74","0101121",222,c(-116.977179999809, 33.721350000414)
"75","0101139",191,c(-117.016149999452, 33.7221200004245)
"76","0101147",1127,c(-123.206340000182, 39.123430000229)
"77","0101154",488,c(-118.614219999742, 34.1426800002388)
"78","0101162",348,c(-121.741109999508, 38.660609999995)
"79","0101170",177,c(-117.234260000236, 33.7917700002048)
"80","0101188",122,c(-121.029310000349, 37.3196100002799)
"81","0101196",383,c(-118.33136999991, 33.9900500002096)
"82","0101204",162,c(-117.217839999807, 32.7353900003502)
"83","0101212",323,c(-122.150450000092, 37.6744600002597)
"84","0101253",874,c(-122.76430999961, 38.480409999905)
"85","0101295",413,c(-121.526819999481, 38.5075000001853)
"86","0101329",310,c(-118.298690000035, 33.76539999968)
"87","0101337",590,c(-122.39660999974, 37.719559999609)
"88","0101345",170,c(-117.088478513166, 32.7085976312689)
"89","0101352",613,c(-122.437510000283, 37.7831500002852)
"90","0101360",136,c(-117.106780000121, 32.6764500003189)
"91","0101378",352,c(-118.990150000375, 34.2343099999465)
"92","0101402",111,c(-120.610839999987, 37.3552000004281)
"93","0101410",376,c(-117.060939999576, 34.0296400003572)
"94","0101444",366,c(-118.282419999531, 33.9611199999345)
